"","Denmark","France","Germany","Japan","Netherlands","Russia","Spain","Thailand","UK","USA","Zimbabwe"
"14431",0.65,0.396,0.62,0.629,0.589,0.688,0.456,0.429,0.478,0.627,0.634
"14432",0.596,0.324,0.62,0.579,0.49,0.655,0.407,0.403,0.422,0.581,0.598
"14433",0.582,0.306,0.62,0.566,0.465,0.647,0.394,0.397,0.407,0.569,0.588
"14434",0.435,0.207,0.508,0.542,0.308,0.579,0.281,0.324,0.259,0.479,0.526
"14435",0.283,0.103,0.391,0.517,0.145,0.509,0.164,0.248,0.105,0.386,0.461
"14441",0.517,0.299,0.473,0.584,0.444,0.564,0.328,0.346,0.318,0.517,0.54
"14442",0.463,0.228,0.473,0.534,0.346,0.531,0.279,0.321,0.262,0.478,0.504
"14443",0.449,0.209,0.473,0.521,0.32,0.523,0.266,0.314,0.247,0.468,0.494
"14444",0.302,0.127,0.393,0.497,0.187,0.455,0.182,0.255,0.126,0.39,0.432
"14445",0.15,0.042,0.31,0.472,0.048,0.385,0.095,0.193,0,0.31,0.367
"14451",0.316,0.154,0.253,0.515,0.227,0.377,0.136,0.221,0.078,0.353,0.399
"14452",0.262,0.083,0.253,0.465,0.128,0.344,0.087,0.196,0.022,0.324,0.363
"14453",0.248,0.064,0.253,0.452,0.103,0.336,0.074,0.189,0.007,0.316,0.353
"14454",0.101,0.009,0.221,0.428,0.004,0.268,0.034,0.151,-0.074,0.257,0.291
"14455",-0.051,-0.05,0.188,0.403,-0.098,0.198,-0.008,0.111,-0.158,0.196,0.226
"14511",0.648,0.397,0.568,0.649,0.539,0.641,0.314,0.391,0.425,0.551,0.639
"14512",0.594,0.326,0.568,0.599,0.441,0.608,0.264,0.365,0.369,0.532,0.603
"14513",0.58,0.307,0.568,0.586,0.415,0.6,0.252,0.359,0.354,0.527,0.593
"14514",0.433,0.251,0.536,0.562,0.316,0.532,0.211,0.32,0.273,0.457,0.531
"14515",0.281,0.193,0.503,0.537,0.214,0.462,0.17,0.281,0.189,0.384,0.466
"14521",0.598,0.308,0.478,0.585,0.47,0.588,0.242,0.333,0.327,0.518,0.586
"14522",0.544,0.236,0.478,0.535,0.372,0.555,0.193,0.308,0.27,0.486,0.549
"14523",0.53,0.218,0.478,0.522,0.346,0.547,0.18,0.301,0.256,0.478,0.54
"14524",0.383,0.162,0.446,0.498,0.248,0.479,0.14,0.263,0.175,0.416,0.477
"14525",0.231,0.104,0.413,0.473,0.145,0.409,0.098,0.223,0.091,0.351,0.413
"14531",0.586,0.285,0.456,0.569,0.453,0.575,0.225,0.319,0.302,0.51,0.572
"14532",0.532,0.214,0.456,0.519,0.355,0.542,0.175,0.293,0.246,0.475,0.536
"14533",0.518,0.195,0.456,0.506,0.329,0.534,0.163,0.287,0.231,0.466,0.526
"14534",0.371,0.139,0.424,0.482,0.23,0.466,0.122,0.248,0.15,0.406,0.464
"14535",0.219,0.081,0.391,0.457,0.128,0.396,0.081,0.209,0.066,0.343,0.399
"14541",0.452,0.224,0.375,0.524,0.356,0.451,0.156,0.264,0.197,0.425,0.478
"14542",0.398,0.153,0.375,0.474,0.258,0.418,0.107,0.238,0.141,0.396,0.442
"14543",0.384,0.134,0.375,0.461,0.232,0.41,0.094,0.232,0.126,0.389,0.432
"14544",0.238,0.078,0.343,0.437,0.133,0.342,0.054,0.194,0.045,0.331,0.37
"14545",0.085,0.02,0.31,0.412,0.031,0.272,0.012,0.154,-0.039,0.27,0.305
"14551",0.252,0.132,0.253,0.455,0.21,0.264,0.053,0.182,0.039,0.297,0.337
